Testing load_sound
         112895 function calls (110897 primitive calls) in 1.409 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.409    1.409 <string>:1(<module>)
        1    0.013    0.013    1.409    1.409 ProfilingSounds.py:6(test_load_sound)
        1    0.000    0.000    0.001    0.001 aifc.py:135(<module>)
        1    0.000    0.000    0.000    0.000 aifc.py:142(Error)
        1    0.000    0.000    0.000    0.000 aifc.py:246(Aifc_read)
        1    0.000    0.000    0.000    0.000 aifc.py:527(Aifc_write)
     1998    0.010    0.000    0.010    0.000 chunk.py:115(tell)
8991/6993    0.151    0.000    0.183    0.000 chunk.py:120(read)
      999    0.017    0.000    0.036    0.000 chunk.py:143(skip)
     2997    0.169    0.000    0.293    0.000 chunk.py:52(__init__)
     2997    0.010    0.000    0.010    0.000 chunk.py:78(getname)
      999    0.015    0.000    0.019    0.000 chunk.py:96(seek)
      999    0.011    0.000    1.396    0.001 media.py:262(load_sound)
     1998    0.010    0.000    0.010    0.000 sndhdr.py:108(test_hcom)
     1998    0.010    0.000    0.010    0.000 sndhdr.py:117(test_voc)
     1998    0.048    0.000    0.157    0.000 sndhdr.py:130(test_wav)
     1998    0.025    0.000    0.037    0.000 sndhdr.py:177(get_long_le)
     5994    0.050    0.000    0.071    0.000 sndhdr.py:183(get_short_le)
     1998    0.040    0.000    0.497    0.000 sndhdr.py:35(what)
     1998    0.098    0.000    0.457    0.000 sndhdr.py:41(whathdr)
     1998    0.083    0.000    0.084    0.000 sndhdr.py:58(test_aifc)
     1998    0.013    0.000    0.013    0.000 sndhdr.py:79(test_au)
      999    0.011    0.000    0.035    0.000 sound.py:168(set_pygame_sound)
      999    0.007    0.000    0.007    0.000 sound.py:408(set_filename)
      999    0.140    0.000    1.287    0.001 sound.py:516(load_pygame_sound)
      999    0.014    0.000    0.025    0.000 sound.py:585(pygame_to_sample_array)
      999    0.044    0.000    1.385    0.001 sound.py:78(__init__)
      999    0.090    0.000    0.560    0.001 wave.py:125(initfp)
      999    0.020    0.000    0.598    0.001 wave.py:156(__init__)
      999    0.007    0.000    0.012    0.000 wave.py:169(__del__)
     1998    0.016    0.000    0.030    0.000 wave.py:181(close)
      999    0.003    0.000    0.003    0.000 wave.py:202(getcomptype)
      999    0.025    0.000    0.110    0.000 wave.py:263(_read_fmt_chunk)
      999    0.012    0.000    0.611    0.001 wave.py:486(open)
     4995    0.011    0.000    0.011    0.000 {_struct.unpack}
      999    0.003    0.000    0.003    0.000 {isinstance}
    11988    0.019    0.000    0.019    0.000 {len}
      999    0.014    0.000    0.014    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      999    0.003    0.000    0.003    0.000 {method 'get_buffer' of 'pygame.mixer.Sound' objects}
    10989    0.090    0.000    0.090    0.000 {method 'read' of 'file' objects}
      999    0.005    0.000    0.005    0.000 {method 'seek' of 'file' objects}
      999    0.004    0.000    0.004    0.000 {method 'tell' of 'file' objects}
      999    0.008    0.000    0.008    0.000 {numpy.core.multiarray.frombuffer}
